tp,tn,fp,fn,precision,recall,f1,threshold,model
599,37612,1788,1,0.25094260578131544,0.9983333333333333,0.4010713090056913,0.1,logistic_regression
596,37994,1406,4,0.2977022977022977,0.9933333333333333,0.4581091468101461,0.15000000000000002,logistic_regression
595,38244,1156,5,0.33980582524271846,0.9916666666666667,0.5061675882603148,0.20000000000000004,logistic_regression
595,38440,960,5,0.38263665594855306,0.9916666666666667,0.5522041763341068,0.25000000000000006,logistic_regression
594,38576,824,6,0.41889985895627646,0.99,0.5887016848364718,0.30000000000000004,logistic_regression
593,38673,727,7,0.4492424242424242,0.9883333333333333,0.6177083333333333,0.3500000000000001,logistic_regression
591,38750,650,9,0.47622884770346496,0.985,0.6420423682781098,0.40000000000000013,logistic_regression
591,38840,560,9,0.5134665508253693,0.985,0.6750428326670475,0.45000000000000007,logistic_regression
590,38906,494,10,0.544280442804428,0.9833333333333333,0.7007125890736341,0.5000000000000001,logistic_regression
590,38963,437,10,0.5744888023369036,0.9833333333333333,0.7252612169637369,0.5500000000000002,logistic_regression
590,39016,384,10,0.6057494866529775,0.9833333333333333,0.7496823379923762,0.6000000000000002,logistic_regression
589,39072,328,11,0.6423118865866958,0.9816666666666667,0.7765326301911669,0.6500000000000001,logistic_regression
588,39117,283,12,0.6750861079219288,0.98,0.7994561522773623,0.7000000000000002,logistic_regression
587,39160,240,13,0.7097944377267231,0.9783333333333334,0.8227049754730204,0.7500000000000002,logistic_regression
584,39208,192,16,0.7525773195876289,0.9733333333333334,0.8488372093023255,0.8000000000000002,logistic_regression
582,39249,151,18,0.7939972714870396,0.97,0.873218304576144,0.8500000000000002,logistic_regression
579,39286,114,21,0.8354978354978355,0.965,0.8955916473317865,0.9000000000000002,logistic_regression
598,37152,2248,2,0.2101194659170766,0.9966666666666667,0.34706906558328493,0.1,random_forest
598,37981,1419,2,0.2964799206742687,0.9966666666666667,0.4570118456247612,0.15000000000000002,random_forest
598,38415,985,2,0.37776373973468097,0.9966666666666667,0.5478699038021072,0.20000000000000004,random_forest
596,38712,688,4,0.46417445482866043,0.9933333333333333,0.6326963906581741,0.25000000000000006,random_forest
591,38935,465,9,0.5596590909090909,0.985,0.7137681159420289,0.30000000000000004,random_forest
587,39084,316,13,0.6500553709856035,0.9783333333333334,0.7811044577511643,0.3500000000000001,random_forest
579,39179,221,21,0.72375,0.965,0.8271428571428572,0.40000000000000013,random_forest
574,39241,159,26,0.7830832196452933,0.9566666666666667,0.8612153038259565,0.45000000000000007,random_forest
563,39290,110,37,0.836552748885587,0.9383333333333334,0.8845247446975648,0.5000000000000001,random_forest
553,39317,83,47,0.8694968553459119,0.9216666666666666,0.8948220064724919,0.5500000000000002,random_forest
548,39340,60,52,0.9013157894736842,0.9133333333333333,0.9072847682119205,0.6000000000000002,random_forest
537,39361,39,63,0.9322916666666666,0.895,0.913265306122449,0.6500000000000001,random_forest
520,39375,25,80,0.9541284403669725,0.8666666666666667,0.9082969432314412,0.7000000000000002,random_forest
499,39379,21,101,0.9596153846153846,0.8316666666666667,0.8910714285714285,0.7500000000000002,random_forest
468,39386,14,132,0.970954356846473,0.78,0.8650646950092422,0.8000000000000002,random_forest
439,39393,7,161,0.984304932735426,0.7316666666666667,0.8393881453154877,0.8500000000000002,random_forest
374,39398,2,226,0.9946808510638298,0.6233333333333333,0.7663934426229508,0.9000000000000002,random_forest
585,39149,251,15,0.6997607655502392,0.975,0.8147632311977715,0.1,xgboost
579,39200,200,21,0.7432605905006419,0.965,0.8397389412617838,0.15000000000000002,xgboost
576,39238,162,24,0.7804878048780488,0.96,0.8609865470852018,0.20000000000000004,xgboost
574,39260,140,26,0.803921568627451,0.9566666666666667,0.8736681887366818,0.25000000000000006,xgboost
573,39267,133,27,0.8116147308781869,0.955,0.8774885145482388,0.30000000000000004,xgboost
572,39277,123,28,0.823021582733813,0.9533333333333334,0.8833976833976834,0.3500000000000001,xgboost
569,39287,113,31,0.8343108504398827,0.9483333333333334,0.8876755070202809,0.40000000000000013,xgboost
565,39296,104,35,0.8445440956651719,0.9416666666666667,0.8904649330181243,0.45000000000000007,xgboost
563,39304,96,37,0.8543247344461306,0.9383333333333334,0.8943606036536934,0.5000000000000001,xgboost
559,39318,82,41,0.8720748829953198,0.9316666666666666,0.9008863819500402,0.5500000000000002,xgboost
556,39322,78,44,0.8769716088328076,0.9266666666666666,0.9011345218800647,0.6000000000000002,xgboost
556,39329,71,44,0.886762360446571,0.9266666666666666,0.9062754686226568,0.6500000000000001,xgboost
554,39339,61,46,0.9008130081300812,0.9233333333333333,0.9119341563786008,0.7000000000000002,xgboost
552,39351,49,48,0.9184692179700499,0.92,0.9192339716902581,0.7500000000000002,xgboost
551,39359,41,49,0.9307432432432432,0.9183333333333333,0.9244966442953021,0.8000000000000002,xgboost
548,39368,32,52,0.9448275862068966,0.9133333333333333,0.9288135593220338,0.8500000000000002,xgboost
533,39372,28,67,0.9500891265597148,0.8883333333333333,0.9181739879414298,0.9000000000000002,xgboost
